Time,Voltage,gNA,gK,gL
0,-69.91268166796614,9.203248722466714e-12,2.9566740283674666e-15,0.0187
0.1,-69.82552646779396,7.415799283274295e-11,4.6611673417808445e-14,0.0187
0.2,-69.7385340939145,2.0072504574127516e-10,2.3253737844858053e-13,0.0187
0.30000000000000004,-69.65170424171879,3.5901829652278116e-10,7.243399580541641e-13,0.0187
0.4,-69.56503660750536,5.230091823944884e-10,1.7431662562878173e-12,0.0187
0.5,-69.47853088831438,6.792812902773763e-10,3.5635396920329738e-12,0.0187
0.6,-69.39218678180808,8.235398699091647e-10,6.509504837105798e-12,0.0187
0.7,-69.30600398620948,9.561343331028311e-10,1.0951061559857305e-11,0.0187
0.7999999999999999,-69.2199822002784,1.0791991936624371e-09,1.7300870772385082e-11,0.0187
0.8999999999999999,-69.134121123306,1.1952310750574847e-09,2.6011214903545722e-11,0.0187
0.9999999999999999,-69.04842045511674,1.3065087486702936e-09,3.75711972409425e-11,0.0187
1.0999999999999999,-68.96287989607251,1.4149252131738204e-09,5.2504165246561486e-11,0.0187
1.2,-68.8774991470767,1.5219931757465202e-09,7.136534385615545e-11,0.0187
1.3,-68.7922779095774,1.6289088793862923e-09,9.473966562503844e-11,0.0187
1.4000000000000001,-68.70721588556961,1.7366248626380244e-09,1.2323978538569693e-10,0.0187
1.5000000000000002,-68.62231277759666,1.8459135814458434e-09,1.575042678383909e-10,0.0187
1.6000000000000003,-68.53756828875096,1.957417487912797e-09,1.981959372074319e-10,0.0187
1.7000000000000004,-68.45298212267423,2.0716864396483314e-09,2.4600037876560144e-10,0.0187
1.8000000000000005,-68.3685539835574,2.1892048913102685e-09,3.0162458265963436e-10,0.0187
1.9000000000000006,-68.28428357614033,2.3104114102856515e-09,3.6579572106310455e-10,0.0187
2.0000000000000004,-68.20017060571112,2.435712648286702e-09,4.39260050241516e-10,0.0187
2.1000000000000005,-68.11621477810564,2.5654933990457196e-09,5.227819296399875e-10,0.0187
2.2000000000000006,-68.0324157997066,2.7001239281748217e-09,6.171429505984812e-10,0.0187
2.3000000000000007,-67.94877337744278,2.8399654129935022e-09,7.231411677648793e-10,0.0187
2.400000000000001,-67.86528721878815,2.9853740735247255e-09,8.415904267140152e-10,0.0187
2.500000000000001,-67.78195703176098,3.1367043936126328e-09,9.73319781692688e-10,0.0187
2.600000000000001,-67.69878252492282,3.294311704647638e-09,1.119172997798114e-09,0.0187
2.700000000000001,-67.61576340737751,3.4585543179373437e-09,1.2800081322617405e-09,0.0187
2.800000000000001,-67.53289938877026,3.629795333228704e-09,1.4566971898530944e-09,0.0187
2.9000000000000012,-67.45019017928654,3.8084042114643625e-09,1.650125847740689e-09,0.0187
3.0000000000000013,-67.36763548965108,3.994758173351059e-09,1.861193245450142e-09,0.0187
3.1000000000000014,-67.28523503112682,4.18924346747037e-09,2.0908118358446512e-09,0.0187
3.2000000000000015,-67.20298851551382,4.39225653958751e-09,2.339907293320942e-09,0.0187
